Equipo,Denominación,GMAO,Ubicación Tec
2062287,KIT DE ALTURAS #8,WGENKA008,ENVG_T_COM
2062288,KIT DE ALTURAS #9,WGENKA009,ENVG_T_COM
2062289,KIT DE ALTURAS #10,WGENKA010,ENVG_T_COM
2062290,KIT DE ALTURAS #11,WGENKA011,ENVG_T_COM
2062291,KIT DE ALTURAS #12,WGENKA012,ENVG_T_COM
2062292,KIT DE ALTURAS #13,WGENKA013,ENVG_T_COM
2062293,KIT DE ALTURAS #14,WGENKA014,ENVG_T_COM
2062294,KIT DE ALTURAS #15,WGENKA015,ENVG_T_COM
2062295,KIT DE ALTURAS #16,WGENKA016,ENVG_T_COM
2062297,KIT DE ALTURAS #17,WGENKA017,ENVG_T_COM
2062300,KIT DE ALTURAS #18,WGENKA018,ENVG_T_COM
2062301,KIT DE ALTURAS #19,WGENKA019,ENVG_T_COM
2062303,KIT DE ALTURAS #20,WGENKA020,ENVG_T_COM
2062311,KIT DE ALTURAS #24,WGENKA024,ENVG_T_COM
2062312,KIT DE ALTURAS #25,WGENKA025,ENVG_T_COM
2062314,KIT DE ALTURAS #26,WGENKA026,ENVG_T_COM
2062315,KIT DE ALTURAS #27,WGENKA027,ENVG_T_COM
2062317,KIT DE ALTURAS #28,WGENKA028,ENVG_T_COM
2062319,ESLINGA ARNES #1,WGENEA001,ENVG_T_COM
2062340,ESCALERA 1 CUERPO FIBRA DE VIDRIO,WGENES006,ENVG_T_COM
2062378,KIT ELECTRICO #1,WGENKE001,ENVG_T_COM
2062379,KIT ELECTRICO #2,WGENKE002,ENVG_T_COM
2065042,MATRIZ DCG005 L52LATERAL IZQUIERDO [M.R],WLIXMT696,ENVG_T_003_CC-_CCG-
2065043,MATRIZ DCD005 L52 LATERAL DERECHA [M.R],WLDXMT697,ENVG_T_006_BRX
2065044,MATRIZ PYG010 X52LATERAL IZQUIERDA [M.R],WLIXMT698,ENVG_T_006_BRX
2065189,MATRIZ FV010 X52 INICIO LATERAL I [M.R],WLIXMT699,ENVG_T_006_CX-_CXG-_CCIX_0002
2065190,MATRIZ RC010 ENS PANEL EXT TRAMP B [O.Z],WEPXMT050,ENVG_T_PIM
2065191,MATRIZ RC010 ENS PANEL EXT TRAMP L [O.Z],WEPXMT051,ENVG_T_PIM
2065193,CAJON PUERTA TRASERA IZQUIERDA X52,WSEXMT703,ENVG_T_COM
2065228,MATRIZ DBD010 X52  BLOQUE DEL D [J.A],WBLXMT737,ENVG_T_006_BRX_LV--_LVG-
2065241,MATRIZ CCG015 X52 SUB ENSAMBLE,WPRXMT686,ENVG_T_EST_PRO
2069024,UNIDAD HIDRAULICA STAND BY,WPVXPV003,ENVG_T_001_CS-_CSA-_CSA1_0020
2075690,MATRIZ SR 010 X52 H79 CENTRAL [J.A],WPSXMT729,ENVG_T_006_BRX_SC--_TU--
2075691,MATRIZ TC020   X 52 SUB ENSAMBLE,WPSXMT726,ENVG_T_EST_PRO
2075692,MATRIZ LRD 010 HJD,WHUARMT747,ENVG_T_006_BRX_SR--_LRD-
2075693,MATRIZ LRD 010 LARGUERO DERECHO,WPSXMT748,ENVG_T_006_BRX_SR--_LRD-
2075694,MATRIZ LRG 010 HJD,WHUARMT749,ENVG_T_006_BRX_SR--_LRG-
2075695,MATRIZ  LRG 010 LARGUERO IZQUIERDO,WPSXMT750,ENVG_T_006_BRX_SR--_LRG-
2075696,MATRIZ CL010 X52 SUB ENSAMBLE,WPSXMT751,ENVG_T_EST_PRO
2075697,MATRIZ TC 010  X 52 SUB ENSAMBLE,WPSXMT752,ENVG_T_EST_PRO
2075699,MATRIZ CCD015 H79 LAT PIE MEDIO [J.A],WPMHMT774,ENVG_T_006_BRX
2075700,MATRIZ DPG010 X52 PRELIMINAR 2 IZQ [J.A],WPRXMT775,ENVG_T_006_BRX_BRP-_BRP1_0030
2075701,MATRIZ DPD10 X52 PRELIMINAR 2 DER,WPRXMT776,ENVG_T_006_BRX_BRP-_BRP1_0030
2075704,MATRIZ CCD050 X52 SUB ENSAMBLE,WLDXMT753,ENVG_T_EST_PRO
2075706,MATRIZ PYG005 X52  LATERAL IZQ [M.R],WLIXMT755,ENVG_T_006_BRX
2075707,MATRIZ PCD010 B52 LATERAL DER [M.R],WLDXMT756,ENVG_T_006_CX-_CXD-_CCDX_0001
2075708,MATRIZ PCD010 L52  LATERAL DER [M.R],WLDXMT757,ENVG_T_006_CX-_CXD-_CCDX_0001
2075709,MATRIZ CCG050 X52,WLIXMT758,ENVG_T_EST_PRO
2075710,MATRIZ PCG010 L52  LATERAL IZQ [M.R],WLIXMT759,ENVG_T_006_CX-_CXG-_CCIX_0002
2075711,MATRIZ PCG010 B52  LATERAL IZQ [M.R],WLIXMT760,ENVG_T_006_CX-_CXG-_CCIX_0002
2075713,MATRIZ PYD005 X52 LATERAL DER [MR],WLDXMT762,ENVG_T_006_BRX
2075714,MATRIZ PYD010 X52  LATERAL DER [MR],WLDXMT763,ENVG_T_006_BRX
2077410,PINZA GFW BASE SUB ENSAMBLE,WBRHPZ946,ENVG_T_EST_PRO
2079262,MATRIZ DBG 010 X52   BLOQUE DEL I [J.A],WBLXMT765,ENVG_T_006_BRX_LV--_LVG-_0010
2079266,MATRIZ LVG010 X52FB COPELA BLOQ DI [J.A],WBLXMT770,ENVG_T_006_BRX_LV--_LVG-
2079269,MATRIZ LVD010 X52 COPELA BLOQUE DI [J.A],WBLXMT772,ENVG_T_006_BRX_LV--_LVG-
2093988,CARRETA DE ESTRACCION,WCSP001,ENVG_T_001_CS-_CSA-_CSA1_0020
2096874,ESTACIONARIA ALETAS CAMPUZANO,WBLXEE013,ENVG_T_004_OU-_AI--_AIDG_0010
2102601,DISPOSITIVO NEUMAT PUERTA TI H79 MIGUELR,WTRXDN006,ENVG_T_004_OU-_PRG-
2102602,DISPOSITIVO NEUMAT PUERTA TD H79 MIGUELR,WTRXDN007,ENVG_T_004_OU-_PRG-
2102603,DISPOSITIVO NEUMAT PUERTA DI H79 MIGUE R,WTRXDN008,ENVG_T_004_OU-_PRG-
2102604,DISPOSITIV NEUMAT PUERTA DD H79 MIGUEL R,WTRXDN009,ENVG_T_004_OU-_PRD-
2102605,DISPOSITIV NEUMAT PUERTA TI B52 MIGUEL R,WTRXDN014,ENVG_T_002_OU-_PRG-_PRGP_0010
2102606,DISPOSITIV NEUMAT PUERTA TD B52 MIGUEL R,WTRXDN015,ENVG_T_002_OU-_PRD-_PRDP
2102607,DISPOSITIV NEUMAT PUERTA DI B52 MIGUEL R,WTRXDN016,ENVG_T_002_OU-_PVG-
2102608,DISPOSITIVO NEUMAT PUERTA DD B52 MIGUE R,WTRXDN017,ENVG_T_002_OU-_PRG-
2105390,PINZA ARO SUB [EM10],WBLXPZ941A,ENVG_T_OU-
2105393,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ714A,ENVG_T_001_SE
2105396,PINZA ARO PISO X52  [EM01],WPSXPZ752A,ENVG_T_001_BR-
2105483,BOMBA MASTIC  PF250,WBLXBM002,ENVG_T_006_BRX_LV--_LVG-
2106831,BOMBA MASTIC  TM1044,WBLXBM001,ENVG_T_006_BRX_LV--_LVD-
2106834,PISTOLA MASTIC  PF250,WBLXPM002,ENVG_T_006_BRX_LV--_LVG-
2106836,PISTOLA MASTIC  PF250,WBLXPM003,ENVG_T_006_BRX_BRP-_BRP1_0030
2106837,PISTOLA MASTIC  PF250,WBLXPM004,ENVG_T_006_BRX_BRP-_BRP1_0030
2106838,PISTOLA MASTIC  PISO TRASERO CAMPUZANO,WPSXPM006,ENVG_T_006_BRX_SC--_TU--
2106840,PISTOLA MASTIC  PF250,WBLXPM005,ENVG_T_001_CS-_CSA-_CSA1_0010
2106841,PISTOLA MASTIC  PRELIMINAR CAMPUZANO,WPRXPM007,ENVG_T_001_BR-_BRP-_BRP1_0010
2106843,PISTOLA MASTIC  GOUJON'S,WGXPM008,ENVG_T_001_BR-_BRP-_BRP1_0010
2106844,PISTOLA MASTIC  PREPARACION CABINA,WPCPM009,ENVG_T_001_BR-_BRP-_BRP1_0030
2106847,BOMBA MASTIC  LATERAL IZQ JULIAN C,WLIXBM007,ENVG_T_006_CX-_CXG-
2106848,PISTOLA MASTIC LATERAL IZQ JULIAN C,WLIHPM012,ENVG_T_006_CX-_CXG-
2106851,PISTOLA MASTIC LATERAL DER JULIAN C,WLDXPM014,ENVG_T_006_CX-_CXD-_CCDX_0001
2106926,PISTOLA MASTIC LATERAL DER,WLDXPM015,ENVG_T_006_CX-_CXD-_CCDX_0001
2106929,PISTOLA MASTIC LATERAL IZQ,WLIHPM017,ENVG_T_004_CC-_CCG-_PCG-_0100
2107097,PISTOLA MASTIC LATERAL DER,WLDXPM021,ENVG_T_006_CX-_CXD-
2107099,PISTOLA MASTIC LATERAL IZQ,WLIXPM022,ENVG_T_006_CX-_CXG-
2107100,PISTOLA MASTIC LATERAL DER,WLIXPM023,ENVG_T_006_CX-_CXD-
2107101,PISTOLA MASTIC LATERAL IZQ JULIAN C,WLDXPM024,ENVG_T_006_CX-_CXG-
2107102,PISTOLA MASTIC SERTISSAGE,WSXPM025,ENVG_T_003_OU-_PRD-_PRDS
2107103,PISTOLA MASTIC SERTISSAGE,WSXPM026,ENVG_T_003_OU-_PRD-_PRDS
2107105,PISTOLA MASTIC 1027,WSELPM027,ENVG_T_006_OU-_CR--_CRX-_0009
2107106,PISTOLA MASTIC SERTISSAGE,WSEXPM028,ENVG_T_006_OU-_CR--_CRX-_0009
2107107,PISTOLA MASTIC 1027,WSXPM029,ENVG_T_004_OU-_CR--_CRS-
2107108,BOMBA MASTIC  250,WSXBM012,ENVG_T_004_OU-_PR--_PRGS
2107110,PISTOLA MASTIC 250,WSXPM031,ENVG_T_006_OU-_CR--_CRX-_0009
2107113,PISTOLA MASTIC 1027,WSXPM033,ENVG_T_006_OU-_PV--_PVD-_0020
2107114,PISTOLA MASTIC 1027,WSXPM034,ENVG_T_004_OU-_CR--_CRS-
2107115,PISTOLA MASTIC 1027,WSXPM035,ENVG_T_004_OU-_PR--_PRGS
2107116,PISTOLA MASTIC 1027,WLDXPM051,ENVG_T_006_CX-_CXD-
2107118,PISTOLA MASTIC SERTISSAGE,WSXPM036,ENVG_T_004_OU-_CR--_CRS-
2107119,PISTOLA MASTIC SERTISSAGE,WSXPM037,ENVG_T_004_OU-_CR--_CRS-
2107125,PISTOLA MASTIC SERTISSAGE,WSXPM042,ENVG_T_006_OU-_PV--_PVG-_0020
2107127,BOMBA MASTIC  SERTISSAGE,WSEXBM008,ENVG_T_006_OU-_PR--_PRD-_0010
2107130,PISTOLA MASTIC 250,WSXPM046,ENVG_T_006_OU-_PV--_PVG-_0020
2107131,PISTOLA MASTIC 250,WLDXPM047,ENVG_T_006_CX-_CXD-
2107169,PISTOLA MASTIC  PF250,WLDXPM048,ENVG_T_006_CX-_CXD-
2107170,PISTOLA MASTIC  PF250,WLDXPM049,ENVG_T_006_CX-_CXD-
2107171,PISTOLA MASTIC  PF250,WLDXPM050,ENVG_T_004_CC-_CCD-
2107901,PINZA ARO BLOQ DEL [EM04],WBLXPZ701A,ENVG_T_001_BR-_BRA-_BRA1_0025
2107902,PINZA ARO PRELIMINAR X52  [EM16],WPRXPZ756A,ENVG_T_OU-
2107903,PINZA ARO PRELIMINAR X52  [EM02],WPRXPZ757A,ENVG_T_001_BR-
2107905,PINZA ARO SUB [EM10],WBLXPZ700A,ENVG_T_OU-
2107910,PINZA ARO PISO X52  [EM02],WPSXPZ635A,ENVG_T_001_BR-
2107911,PINZA ARO PISO X52  [EM11],WPSXPZ632A,ENVG_T_OU-
2107912,PINZA ARO PISO X52  [EM11],WPSXPZ759A,ENVG_T_OU-
2107913,PINZA ARO PISO X52  [EM11],WPSXPZ760A,ENVG_T
2115402,PULIDORA ORBITAL,CLIOOR-001,ENVG_T_HTA
2115403,PULIDORA ORBITAL,CLIOOR-002,ENVG_T_HTA
2115404,PULIDORA ORBITAL,CLIOOR-003,ENVG_T_HTA
2115405,PULIDORA ORBITAL,CLIOOR-004,ENVG_T_HTA
2115406,PULIDORA,CLIOPN-005,ENVG_T_HTA
2115407,PULIDORA,CLIOPN-006,ENVG_T_HTA
2115408,PULIDORA,CLIOPN-007,ENVG_T_HTA
2115409,PULIDORA DE PASTA,CLIOPP-008,ENVG_T_HTA
2115410,PULIDORA DE BANDA,CLIOPB-009,ENVG_T_HTA
2115411,MINI PULIDORTA,CLIOMP-010,ENVG_T_HTA
2115415,0,03SOLOR-001,ENVG_T_HTA
2115416,PULIDORA ORBITAL-DYNABRADE,03SLOR-002,ENVG_T_HTA
2115417,PULIDORA ORBITAL-DYNABRADE,03SOLOR-003,ENVG_T_HTA
2115418,PULIDORA  -CHICAGO,03SOLPN-004,ENVG_T_HTA
2115419,PULIDORA  -INGERSOLL RAND,03SOLPN-005,ENVG_T_HTA
2115420,PULIDORA  -ATA,03SOLPN-006,ENVG_T_HTA
2115421,MINI PULIDORA-INGERSOLL RAND,03SOLMP-007,ENVG_T_HTA
2115422,MOTOTOOL-INGRSOLL RAND,03SOLMT-008,ENVG_T_HTA
2115423,MOTOTOOL-CP,03SOLMT-009,ENVG_T_HTA
2115424,PULIDORA ORBITAL-DYNABRADE,03SOLORT-010,ENVG_T_HTA
2115426,PULIDORA - BLUE POINT,03SOLPN-012,ENVG_T_HTA
2115427,PULIDORA ORBITAL-DYNABRADE,01SOLOR-001,ENVG_T_HTA
2115428,PULIDORA ORBITAL-DYNABRADE,01SOLOR-002,ENVG_T_HTA
2115429,PULIDORA ORBITAL-DYNABRADE,01SOLOR-003,ENVG_T_HTA
2115430,PULIDORA  -INGERSOLL RAND,01SOLPN-004,ENVG_T_HTA
2115431,PULIDORA  -INGERSOLL RAND,01SOLPN-005,ENVG_T_HTA
2115432,PULIDORA  -INGERSOLL RAND,01SOLPN-006,ENVG_T_HTA
2115433,PULIDORA ORBITAL-DYNABRADE,01SOLOR-007,ENVG_T_HTA
2115434,PULIDORA ORBITAL-DYNABRADE,01SOLOR-008,ENVG_T_HTA
2115435,PULIDORA  -INGERSOLL RAND,01SOLPN-009,ENVG_T_HTA
2115436,CORTADORA DE PASTA-INGERSOLL RAND,01SOLPP-010,ENVG_T_HTA
2115437,CORTADORA DE PASTA-INGERSOLL RAND,01SOLPP-011,ENVG_T_HTA
2115438,TALADRO NEUMATICO-INGERSOLL RAND,01SOLTN-012,ENVG_T_HTA
2115440,PULIDORA DE BANDA -INGERSOLL RAND,01SOLPB-014,ENVG_T_HTA
2115441,PULIDORA DE BANDA -INGERSOLL RAND,01SOLPB-015,ENVG_T_HTA
2115442,PULIDORA DE BANDA -INGERSOLL RAND,01SOLPB-016,ENVG_T_HTA
2115443,PULIDORA ORBITAL,02SOLOR-001,ENVG_T_HTA
2115444,PULIDORA ORBITAL,02SOLOR-002,ENVG_T_HTA
2115445,PULIDORA ORBITAL,02SOLOR-003,ENVG_T_HTA
2115446,PULIDORA,02SOLPN-004,ENVG_T_HTA
2115447,PULIDORA,02SOLPN-005,ENVG_T_HTA
2115448,PULIDORA,02SOLPN-006,ENVG_T_HTA
2115449,PULIDORA DE PASTA,02SOLPP-007,ENVG_T_HTA
2115450,MINI PULIDORTA,02SOLMP-008,ENVG_T_HTA
2115451,MINI PULIDORTA,02SOLMP-009,ENVG_T_HTA
2115455,REMACHADORA - CHICAGO,WLDHRM002,ENVG_T_HTA
2115456,REMACHADORA - CHICAGO,WBLXRM003,ENVG_T_HTA
2115458,REMACHADORA - Avdel,WADHRM005,ENVG_T_HTA
2115459,PULIDORA DE BANDA,04SOLPB-006,ENVG_T_HTA
2115460,PULIDORA ORBITAL-DYNABRADE,04SOLOR-006,ENVG_T_HTA
2115461,PULIDORA ORBITAL-DYNABRADE,04SOLOR-007,ENVG_T_HTA
2115462,PULIDORA  -INGERSOLL RAND,04SOLPN-008,ENVG_T_HTA
2115463,PULIDORA  -INGERSOLL RAND,04SOLPN-009,ENVG_T_HTA
2121787,ECKOLD LATERAL DERECHO  X52,WLDXEK052,ENVG_T_006_CX-_CXD-
2121788,ECKOLD LATERAL IZQUIERDO X52,WLIXEK053,ENVG_T_006_CX-_CXG-
2123017,PINZA ARO PISO X52 [EM04],WPSXPZ745A,ENVG_T_001_SE
2123018,PINZA ARO PISO X52  [EM04],WPSXPZ742A,ENVG_T_001_SE
2123019,PINZA ARO PISO X52  [EM01],WPSXPZ734A,ENVG_T_001_BR-
2126005,PINZA ARO PUERTAS X52  [EM16],WPDBPZ930,ENVG_T_ESC
2128556,ELEVADOR GENIE,WGENEL000,ENVG_T
2131329,MATRIZ  CCD100 LATERAL DERECHO B52 [M.R],WLDXMT791,ENVG_T_006_CX-_CXD-
2131330,MATRIZ  CCG100 LATERAL IZQ B52 [M.R],WLIXMT792,ENVG_T_006_CX-_CXG-
2135182,UNIDAD DE MANTENIMIENTO TERMINACION,WTRXUM017,ENVG_T_COM_CF-_CFF-_CFF1_AIRE
2135183,UNIDAD DE MANTENIMIENTO TERMINACION,WTRXUM018,ENVG_T_COM_CF-_CFF-_CFF1_AIRE
2135184,UNIDAD DE MANTENIMIENTO TERMINACION,WTRXUM019,ENVG_T_COM_CF-_CFF-_CFF1_AIRE
2135760,PISTOLA MASTIC LATERALES JULIAN C,WLDXPM052,ENVG_T_006_CX-_CXD-
2135761,PISTOLA MASTIC LATERALES JULIAN C,WLIXPM053,ENVG_T_006_CX-_CXG-
2135763,BOMBA MASTIC LATERALES JULIAN C,WLDXMB013,ENVG_T_006_CX-_CXD-
2135764,BOMBA MASTIC SERTISSAGE JULIAN C,WSXBM015,ENVG_T_006_OU-_PV--_PVD-_0020
2135765,PISTOLA MASTIC SERTISSAGE 52 CAMPUZANO,WSXPM054,ENVG_T_006_OU-_PV--_PVD-_0020
2135766,BOMBA HIDRAULICA BLOQUE DELANTERO,WBLXPH002,ENVG_T_001_BR-_LV--_LVD-_0010
2135767,MATRIZ PISO CENTRAL X52 [J.A],WPSXMT794,ENVG_T_006_BRX_SC--_TU--
2135768,MATRIZ SCPG005 BR010 PRELIMINAR [J.V],WPRXMT795,ENVG_T_001_BR-_BRP-_BRP1_0010
2135770,MATRIZ SCPD005 PRELIMINAR  [J.V],WPRXMT796,ENVG_T_001_BR-_BRP-_BRP1_0010
2135774,PISTOLA MASTIC LATERALES IZQ JULIAN C,WLIXPM011,ENVG_T_006_CX-_CXG-
2140748,MATRIZ SERTISSAGE [O.Z],WSEXMT804,ENVG_T_003_OU-_PRD-_PRDS
2148652,DISPOSITIVO NEUMATICO LAT DER X MIGUEL R,WLDXDN014,ENVG_T_005_CC-_CCD-
2148653,DISPOSITIVO NEUMATICO LAT DER X MIGUEL R,WLIXDN015,ENVG_T_005_CC-_CCG-
2152915,MATRIZ PCD010 GOTERA DERECHA B52,WGDBMM023,ENVG_T_UN2
2152916,MATRIZ PCD010 GOTERA DERECHA L52,WGDLMM024,ENVG_T_UN2
2154330,TORNO TALLER INVERSIONES SUPERIORES,WTMIEQ067,ENVG_T
2154331,FRESADORA TALLER DE INVERSIONES SUPERIOR,WFTMFR068,ENVG_T
2154332,ESMERIL TALLER INVERSIONES SUPERIORES,WETMIS069,ENVG_T
2154333,TALADRO DE BANCO TALLER INVERSIONES SUP.,WTBTIS070,ENVG_T
2154335,TALADRO MAGNETICO INVERSIONES SUP,WTMTIS071,ENVG_T
2155496,PINZA GFW ESCUELA DESTREZAS [EM16],WEDSPZ003,ENVG_T_001_BR-
2156135,ISLA SERTISSAGE PD H79 DORIAN P,WSEHIS002,ENVG_T_001_OU-
2156800,DISPOSITIVO FIBRA DE VIDRIO,WTRXDN005,ENVG_T
2159087,MOLDE  A1 SERTISSAGE PDI H79,WSPIMD074,ENVG_T_001_OU-
2159088,MOLDE C1 SERTISSAGE PDD H79,WSPDMD075,ENVG_T_001_OU-
2159089,MOLDE Y PRENSOR CAPOT CV700 H79,WCPHMD076,ENVG_T_001_OU-
2159090,MOLDE Y PRENSOR PORTILLON CR700 H79,WPPHMD077,ENVG_T_004_OU-_CR--_CRS-
2159171,MOLDE Y PRENSOR PRD700 PUERTA TD H79,WPTHMD078,ENVG_T_004_OU-_PRD-_PRDS
2159172,MOLDE Y PRENSOR PRG700 PUERTA TI H79,WPTHMD079,ENVG_T_004_OU-_PRG-_PRGS
2159173,MOLDE SERTISSAGE PORTON A08 L52,WSPHMD080,ENVG_T_004_OU-_CR--
2159174,MOLDE SERTISSAGE A01 PTD L52,WPTLMD081,ENVG_T_003_OU-_PRD-_PRDS
2159175,MOLDE SERTISSAGE A02 PTD B52,WPTLBMD082,ENVG_T_002_OU-_PRG-_PRGP_0303
2159176,MOLDE SERTISSAGE A03 PTD B52,WPTBMD083,ENVG_T_002_OU-_PRD-_PRDP
2159177,MOLDE SERTISSAGE A04 PTI L52,WPTLMD084,ENVG_T_002_OU-_PRG-
2159178,MOLDE SERTISSAGE A01 PDD X52,WPDXMD085,ENVG_T_002_OU-_PVD-_PVDP_0020
2159179,MOLDE SERTISSAGE A02 PORTILLON B52,WSPBMD086,ENVG_T_002_OU-_CR--_CRS-
2159180,MOLDE SERTISSAGE CAPOT A03 X52,WCSXMD087,ENVG_T
2159181,MOLDE SERTISSAGE PDI A04 X52,WPDXMD088,ENVG_T_001_OU-_CR--
2159294,TUCKER PYD005 PASO RUEDA DER H79 ROBER S,WPRHDT089,ENVG_T_UN2
2159325,MATRIZ LRD 005 HJD,WHUARMT092,ENVG_T_UN1
2170844,POLIPASTO 3D SOLDADURA ESNEIDER H,WGENPL519,ENVG_T_COM_CF-_CFF-_CFF1_003D
2182479,DISPOT  INMANTADO AJUSTE PDI VS ADI X52,WTRXDI001,ENVG_T_COM_CF-_CFF-_CFF1_00XD
2182480,DISPOT  INMANTADO AJUSTE PDI VS ADI X52,WTRXDI002,ENVG_T_COM_CF-_CFF-_CFF1_00XD
2182576,MATRIZ RC020  INSTALACION REMACHES TRAMP,WEPXMT797,ENVG_T_004_OU-_AI--_AIDG_0010
2182578,MATRIZ PRD008/ X52 REFUERZO ARTICULACION,WRFXMT799,ENVG_T_002_OU-_PVD-_PVDP_0020
2182579,MATRIZ PRGD005/X52 REFUERZO ARTICULACION,WRFXMT800,ENVG_T_002_OU-_PVD-_PVDP_0020
2182581,MATRIZ PVGD005/X52 REFUERZO ARTICULACION,WRFXMT802,ENVG_T_002_OU-_PVD-_PVDP_0020
2182582,MATRIZ PCG005 X52 PIE DELANTERO  X52,WPDXMT803,ENVG_T_006_CX-_CXG-
2182583,MATRIZ DBD020 DOBLADURA,WBLXMT804,ENVG_T_006_CX-_CXG-_CCIX_0002
2182584,MATRIZ CXPD/GD010,WBLXMT805,ENVG_T_006_CX-_CXG-_CCIX_0002
2182586,MATRIZ JR010 L52 FALDON SUPERIOR,WFDXMT807,ENVG_T_001_BR-_BRP-_BRP1_0030
2182587,MATRIZ JR010 L52 FALDON INFERIOR,WTIXMT808,ENVG_T_001_BR-_BRP-_BRP1_0030
2182698,SKID TERMINACION #1,WTRXSK001,ENVG_T_HJD_FER
2182699,SKID TERMINACION #2,WTRXSK002,ENVG_T_HJD_FER
2182700,SKID TERMINACION #3,WTRXSK003,ENVG_T_HJD_FER
2182701,SKID TERMINACION #4,WTRXSK004,ENVG_T_HJD_FER
2182702,SKID TERMINACION #5,WTRXSK005,ENVG_T_HJD_FER
2182703,SKID TERMINACION #6,WTRXSK006,ENVG_T_HJD_FER
2182704,SKID TERMINACION #7,WTRXSK007,ENVG_T_HJD_FER
2182705,SKID TERMINACION #8,WTRXSK008,ENVG_T_HJD_FER
2182706,SKID TERMINACION #9,WTRXSK009,ENVG_T_HJD_FER
2182707,SKID TERMINACION #10,WTRXSK010,ENVG_T_HJD_FER
2182708,SKID TERMINACION #11,WTRXSK011,ENVG_T_HJD_FER
2182709,SKID TERMINACION #12,WTRXSK012,ENVG_T_HJD_FER
2182710,SKID TERMINACION #13,WTRXSK013,ENVG_T_HJD_FER
2182711,SKID TERMINACION #14,WTRXSK014,ENVG_T_HJD_FER
2182712,SKID TERMINACION #15,WTRXSK015,ENVG_T_HJD_FER
2182713,SKID TERMINACION #16,WTRXSK016,ENVG_T_HJD_FER
2182714,SKID TERMINACION #17,WTRXSK017,ENVG_T_HJD_FER
2182715,SKID TERMINACION #18,WTRXSK018,ENVG_T_HJD_FER
2183262,EXT HUMOS TAB.# 1 ISLA ROBOT ES020,SEHSMV002,ENVG_T_006_BRX_SR--_LRG-
2183263,EXT HUMOS TAB. AIRES #2 LATERALES X 52,SEHSMV001,ENVG_T_UN1
2183264,EXT HUMOS TAB. AIRES #3 ESTACIONARIAS,SEHSMV003,ENVG_T_006_BRX_SR--_LRG-_0020
2183265,EXTRACTOR HUM SOLD SECUNDA #1 UND 1 Y 2,SEHSMV004,ENVG_T_006_BRX_SR--_LRD-_0020
2183277,EXTRACTOR HUM SOLDA SECUNDA #1 ALETAS,SEHSMV019,ENVG_T_006_OU-_AI--_AID-_0010
2183278,EXTRACTOR HUM SOLDA SECUNDA #2 ALETAS,SEHSMV020,ENVG_T
2183279,EXTRACTOR HUM SOLDA SECUNDA #3 ALETAS,SEHSMV021,ENVG_T
2183280,EXTRACTOR HUM SOLDA SECUNDA #4 ALETAS,SEHSMV022,ENVG_T
2183931,TORRE ENFRIAMIENTO FANALCA,SSRTE001,ENVG_T
2183932,DISPOSITIVO DE TUCKER VASO EXPANSION H79,WPRHDT001,ENVG_T_006_BRX_BRP-
2183933,DISPOSITIVO DE TUCKER VASO EXPANSION X52,WPRXDT002,ENVG_T_006_BRX_BRP-
2184629,DISPOSITIVO GOUJON'S REF LARGU DER X52,WLDXDG001,ENVG_T_COM_CF-_CFF-_CFF1_000D
2185120,DISPOSITIVO GOUJON'S REF LARGU DER H79,WLDHDG002,ENVG_T_COM_CF-_CFF-_CFF1_000D
2188154,DISPOSITIVO GOUJON'S PASO RUEDA D.D LYB,WTRXDG003,ENVG_T_COM_CF-_CFF-_CFF1
2188157,DISPOSIT GOUJON'S LARGERO D.I LYB,WTRXDG004,ENVG_T_COM_CF-_CFF-_CFF1
2188158,DISPOSITIVO GOUJON'S PASO RUEDA D.I LYB,WTRXDG005,ENVG_T_COM_CF-_CFF-_CFF1_000D
2188159,DISPOSITIVO GOUJON'S  LARGERO D.I  LYB,WTRXDG006,ENVG_T_COM_CF-_CFF-_CFF1_000D
2188160,DISPOSITIVO GOUJON'S PASO RUEDA T.I X52,WBRXDG007,ENVG_T_001_BR-_BRP-
2188161,DISPOSITIVO GOUJON'S TABLERO X52,WBRXDG008,ENVG_T_001_BR-_BRP-
2188162,DISPOSITIVO GOUJON'S PASO RUEDA T.D X52,WBRXDG009,ENVG_T_001_BR-_BRP-
2188163,DISPOSITIVO GOUJON'STUNEL X52,WBRXDG010,ENVG_T_001_BR-_BRP-
2188164,DISP GOUJON'S TRAVIEZA CENTRAL H79 4X4,WBRXDG011,ENVG_T_001_BR-_BRP-
2188165,DISP GOUJON'S TUNEL 4X4 H79,WBRXDG012,ENVG_T_001_BR-_BRP-
2188166,DISP GOUJON'S MARCACION VIN H79,WBRXDG013,ENVG_T_001_BR-_BRP-
2188167,DISP GOUJON'S TUNEL 4X2 H79,WBRXDG014,ENVG_T_001_BR-_BRP-
2188168,DISP GOUJON'S  TABLERO DERECHO X52,WBRXDG015,ENVG_T_001_BR-_BRP-
2188169,DISP GOUJON'S  PASO RUEDA D.DH79,WBRXDG016,ENVG_T_001_BR-_BRP-
2188170,DISP GOUJON'S VASO LAVA CRISTAL COPELA X,WBRXDG017,ENVG_T_001_BR-_BRP-
2188171,DISP GOUJON'S  UNION X52,WBRXDG018,ENVG_T_001_BR-_BRP-
2188172,DISP GOUJON'S   PISO D.I X52,WBRXDG019,ENVG_T_001_BR-_BRP-
